association	dataset	threshold value	standardized value
MG-63	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-1.18109
r3 part of lateral pontine nuclei	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.89718
HCC364	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-1.53173
BRD-K64704925	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.31886
caudal ganglionic eminence_9 pcw_M_12833	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-1.42493
primary visual cortex (striate cortex, area V1/17)_21 pcw_M_12886	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	2.67926
Posterior parietal association areas, layer 1	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.57652
cortex	BioGPS Mouse Cell Type and Tissue Gene Expression Profiles	1.0	0.995101
BRD-K72255288	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.01487
GTEX-S4UY-0526-SM-3K2AN	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
CTCF-33576154-HUMAN-LIVER-PROSTATECANCER	ChEA Transcription Factor Targets 2022	1.0	null
Acute Lung Injury_Whole blood_GSE10474	GEO Signatures of Differentially Expressed Genes for Diseases	-1.0	-1.355
BRD-K63864604	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.98294
NCI-H1373	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-0.95849
PC14	CCLE Cell Line Gene Expression Profiles	1.0	1.40151
acetylated	GeneRIF Biological Term Annotations	1.0	null
GTEX-R55D-0626-SM-3GAD5	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
EM2	CCLE Cell Line Gene CNV Profiles	1.0	1.8987
GTEX-T6MO-0003-SM-3NMAG	GTEx Tissue Sample Gene Expression Profiles	-1.0	-0.83072
SREBP2-21459322-LIVER-MOUSE	ChEA Transcription Factor Binding Site Profiles	1.0	null
BRD-K48670593	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-5.0543
ZNF384_CH12.LX_mm9_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
deficits	GeneRIF Biological Term Annotations	1.0	null
H3K4me3_HeLa-S3_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
clathrinmediated	GeneRIF Biological Term Annotations	1.0	null
GTEX-REY6-0826-SM-2TF4S	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
NCI-H1437	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.59146
medial ganglionic eminence_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-2.03018
H3K4me3_GM12878_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
H3K9ac_liver_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-QVJO-0011-R2A-SM-2S1QK	GTEx Tissue Sample Gene Expression Profiles	1.0	0.920298
RPS16	Pathway Commons Protein-Protein Interactions	1.0	null
dyslexia	GAD Gene-Disease Associations	1.0	null
dorsolateral prefrontal cortex_24 pcw_M_12288	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	0.897759
GTEX-X4XX-0011-R6B-SM-46MWP	GTEx Tissue Sample Gene Expression Profiles	1.0	0.927917
BRD-K59159285	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.71723
PRR11	Pathway Commons Protein-Protein Interactions	1.0	null
19658189-TableS3	GeneSigDB Published Gene Signatures	1.0	null
BRD-K76115264	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.0539
MEC1	DepMap CRISPR Gene Dependency	1.0	4.42316
GTEX-XMK1-1126-SM-4IHJ8	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
GTEX-WEY5-0526-SM-3GIKZ	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
Secondary motor area, layer 6a	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.15509
hexamethonium	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.12271
kiaa0319ttrapthem2	GeneRIF Biological Term Annotations	1.0	null
GTEX-WZTO-2926-SM-3NM9I	GTEx Tissue Sample Gene Expression Profiles	1.0	1.27139
BRD-K86102179	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.5842
striatum_3 yrs_F_12836	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.33651
hsa-miR-505	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.07142
Lung adenocarcinoma_LUAD_TCGA-55-6975-01A-11R-1949-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
developmental	GeneRIF Biological Term Annotations	1.0	null
Kidney renal clear cell carcinoma_KIRC_TCGA-B4-5835-01A-11R-1672-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
NCVADR RES	BioGPS Cell Line Gene Expression Profiles	-1.0	-1.74757
orbital frontal cortex_8 yrs_M_12841	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-1.0847
red nucleus, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-0.839367
Pyramus (VIII)	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.26517
Ansiform lobule	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.16398
Crus 1	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.06246
NR2F2	ENCODE Transcription Factor Targets	1.0	null
PLOD2	Pathway Commons Protein-Protein Interactions	1.0	null
hsa-miR-106b	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.809003
BRD-K54453373	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.22626
KANK2	Pathway Commons Protein-Protein Interactions	1.0	null
CAMA1	Heiser et al., PNAS, 2011 Cell Line Gene Expression Profiles	-1.0	-0.678839
cilium	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.107055
TestisGermCell	BioGPS Human Cell Type and Tissue Gene Expression Profiles	-1.0	-1.0609
HIRA	Pathway Commons Protein-Protein Interactions	1.0	null
NUP98	Pathway Commons Protein-Protein Interactions	1.0	null
integral component of membrane	GO Cellular Component Annotations 2015	1.0	null
Speech Perception	HuGE Navigator Gene-Phenotype Associations	1.0	null
SUM 52PE	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	0.929414
Ovary	BioGPS Human Cell Type and Tissue Gene Expression Profiles	-1.0	-0.945446
H3K79me2_A549_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
UACC-257	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.02787
pyramidal layer of rostral subiculum	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	1.07749
BRD-K80073743	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.07701
RAD21_H1-hESC_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-WVLH-0011-R11A-SM-3MJFO	GTEx Tissue Sample Gene Expression Profiles	1.0	1.36033
SHANK2	Pathway Commons Protein-Protein Interactions	1.0	null
H3K4me2_fibroblast of dermis_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
FOS_MCF 10A_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
WT1_01_08	KnockTF Gene Expression Profiles with Transcription Factor Perturbations	-1.0	-0.61046
Primary somatosensory area, trunk, layer 1	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	3.30563
KYSE-70	GDSC Cell Line Gene Expression Profiles	1.0	1.52408
superficial stratum of cerebellar vermis	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.07771
BRD-K17136501	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.20405
RIMS2	Pathway Commons Protein-Protein Interactions	1.0	null
NCI-H187	COSMIC Cell Line Gene Mutation Profiles	1.0	null
H3K9ac_A549_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
superior olivary complex, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.19474
BRD-K54285478	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	4.27579
ZEB1_GM12878_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
DDX51	Pathway Commons Protein-Protein Interactions	1.0	null
VZ in rostral cingulate neocortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-0.831567
fallopiantube_8d	HPA Tissue Sample Gene Expression Profiles	1.0	1.23508
Brain Lower Grade Glioma_LGG_TCGA-HT-7607-01A-11R-2090-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
BRD-K56354139	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.01441
H3K27me3_H7_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Lung adenocarcinoma_LUAD_TCGA-44-7670-01A-11R-2066-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
superficial stratum of r5BI	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.09808
Lung squamous cell carcinoma_LUSC_TCGA-21-1072-01A-01R-0692-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
A-Vietnam-1203_CIP048_RG3-2004(H5N1)_7Hour_None_GSE43203	GEO Signatures of Differentially Expressed Genes for Viral Infections	1.0	1.69734
RUNX2	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K45245001	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	5.4635
OCI-AML3	COSMIC Cell Line Gene Mutation Profiles	1.0	null
H3K27ac_CD8 Memory Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
thyroid gland	HPA Tissue Protein Expression Profiles	1.0	1.66655
NCIN87	CCLE Cell Line Gene CNV Profiles	-1.0	-1.62178
specific developmental disorder	DISEASES Text-mining Gene-Disease Association Evidence Scores	1.0	1.98436
GTEX-RTLS-0226-SM-2TF5E	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
H3K4me2_K562_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GATA3_SH-SY5Y_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
late	GeneRIF Biological Term Annotations	1.0	null
RPP30	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K74116035	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.61908
medial ganglionic eminence_9 pcw_M_12833	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-1.07062
SIN3A_GM12878_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
OPHN1	Pathway Commons Protein-Protein Interactions	1.0	null
primary somatosensory cortex (area S1, areas 3,1,2)_8 yrs_M_12841	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.06327
H3K27ac_mammary epithelial cell_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
TTC549	DepMap CRISPR Gene Dependency	1.0	2.69746
mmn	GeneRIF Biological Term Annotations	1.0	null
ACTC1	Pathway Commons Protein-Protein Interactions	1.0	null
EZH2	ENCODE Transcription Factor Targets	1.0	null
NCI-H2110	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.13246
binding	GO Molecular Function Annotations 2015	1.0	null
GTEX-XUJ4-1326-SM-4BOQ9	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
H3K4me3_fibroblast of pedal digit skin_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
simple	GeneRIF Biological Term Annotations	1.0	null
mania	GWASdb SNP-Phenotype Associations	1.0	0.440642
Agranular insular area, dorsal part, layer 1	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.38207
Rectum adenocarcinoma_READ_TCGA-EI-6885-01A-11R-1928-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K9ac_Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
Agranular insular area, ventral part, layer 5	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.33649
H2AFZ_fibroblast of dermis_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
TENC1	Pathway Commons Protein-Protein Interactions	1.0	null
hsa-miR-20a	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.880544
ventral part of THyB	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.38659
bounding membrane of organelle	GO Cellular Component Annotations 2015	1.0	null
GTF3C4	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K66793411	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.07457
Primary somatosensory area, upper limb, layer 2/3	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	2.14127
ventrolateral prefrontal cortex_21 pcw_F_12365	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	1.00579
Coronary Heart Disease	DisGeNET Gene-Disease Associations	1.0	null
hippocampus (hippocampal formation)_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-2.85211
negative regulation of neuron projection development	GO Biological Process Annotations 2015	1.0	null
MYC_MCF-7_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
rostral group of intralaminar nuclei, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	1.62267
endosome	GO Cellular Component Annotations 2015	1.0	null
H3K27me3_fibroblast of dermis_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
PEA1	DepMap CRISPR Gene Dependency	1.0	6.56664
HUH1	CCLE Cell Line Gene Expression Profiles	1.0	1.40182
Stomach	GTEx Tissue Gene Expression Profiles 2023	-1.0	-0.574523
HA-E2F1_MCF-7_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Familial combined hyperlipidaemia_Blood monocyte_GSE11393	GEO Signatures of Differentially Expressed Genes for Diseases	-1.0	-1.73484
H3K27me3_cardiac mesoderm_hg19_4	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_cardiac mesoderm_hg19_3	ENCODE Histone Modification Site Profiles	1.0	null
mediodorsal nucleus of thalamus_4 mos_M_12890	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.1114
neuron	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.608527
nucleus of the diagonal band, left, horizontal division	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	0.830703
GTEX-REY6-0926-SM-48FDA	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
further	GeneRIF Biological Term Annotations	1.0	null
cerebellar white matter	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.25024
SZ in medial temporal-occipital cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.0325
GATA3_MCF-7_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
BRD-K76309489	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.39264
Specific Reading Disorder	DisGeNET Gene-Phenotype Associations	1.0	null
H3K4me1_erythroblast_mm9_3	ENCODE Histone Modification Site Profiles	1.0	null
negative regulation of neuron differentiation	GO Biological Process Annotations 2015	1.0	null
BRD-K08995282	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.52909
organelle membrane	COMPARTMENTS Curated Protein Localization Evidence Scores	1.0	0.663342
H3K27me3_osteoblast_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_H1 BMP4 Derived Trophoblast Cultured Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
SETDB1_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
brain	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	1.05237
POLR2AphosphoS2_myocyte_mm9_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me1_limb_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
POLR2AphosphoS5_G1E_mm9_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
hippocampus (hippocampal formation)_18 yrs_M_12984	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.03616
ERBB2IP	Pathway Commons Protein-Protein Interactions	1.0	null
classical	GeneRIF Biological Term Annotations	1.0	null
CREB1_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
A498	BioGPS Cell Line Gene Expression Profiles	1.0	1.67882
H3K4me1_osteoblast_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
H3K4me3_GM12878_hg19_3	ENCODE Histone Modification Site Profiles	1.0	null
PSIP1_02_99	KnockTF Gene Expression Profiles with Transcription Factor Perturbations	-1.0	-0.65208
BRD-K96170781	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	4.1783
regulation of cell development	GO Biological Process Annotations 2015	1.0	null
BRD-K97576000	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.18099
GTEX-XUJ4-2526-SM-4BOO4	GTEx Tissue Sample Gene Expression Profiles	-1.0	-0.858752
Brain Lower Grade Glioma_LGG_TCGA-HT-7680-01A-11R-2256-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Brain Lower Grade Glioma_LGG_TCGA-HW-7487-01A-11R-2027-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
rs4504469	GeneRIF Biological Term Annotations	1.0	null
coronary artery disease	GWASdb SNP-Disease Associations	1.0	1.25556
sk-n-sh cell	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.18091
A-427	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.16271
CDV3	Pathway Commons Protein-Protein Interactions	1.0	null
amygdaloid complex_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-1.20639
KYSE150	CCLE Cell Line Gene CNV Profiles	1.0	1.90492
CA3 field, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	1.22432
HCC1438	CCLE Cell Line Gene Expression Profiles	1.0	1.34741
POLR2A_endothelial cell of umbilical vein_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
sclc21h	HPA Cell Line Gene Expression Profiles	1.0	1.32055
BRD-K43852369	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.07572
TBX2-30127528-BE2C-HUMAN-BRAIN-NEUROBLASTOMA	ChEA Transcription Factor Targets 2022	1.0	null
BRD-K77718491	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.55878
posterior group of nuclei, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	2.13257
NCI-H1915	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.17584
Head and Neck squamous cell carcinoma_HNSC_TCGA-CV-6941-01A-11R-1915-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
E2F4_MCF 10A_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-UTHO-0011-R5A-SM-3GIJD	GTEx Tissue Sample Gene Expression Profiles	1.0	0.930082
SDF4	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-TKQ1-0008-SM-4DXSO	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
biological_process	GO Biological Process Annotations 2015	1.0	null
A-Vietnam-1203_CIP048_RG3-2004(H5N1)_24Hour_None_GSE43203	GEO Signatures of Differentially Expressed Genes for Viral Infections	1.0	3.47785
DROSHA-22980978-HELA-HUMAN	ChEA Transcription Factor Targets 2022	1.0	null
H3K4me3_skeletal muscle cell_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
negative regulation of axon extension involved in regeneration	GO Biological Process Annotations 2023	1.0	null
BRD-K82670191	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.28768
CAOV3	CCLE Cell Line Gene CNV Profiles	1.0	2.59231
stratum pyramidale of caudal CA3	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	1.10125
functions	GeneRIF Biological Term Annotations	1.0	null
linking	GeneRIF Biological Term Annotations	1.0	null
MAGI1	Pathway Commons Protein-Protein Interactions	1.0	null
hsa-miR-3663-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.921135
MAX_HepG2_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
cognitive disorder	DISEASES Text-mining Gene-Disease Association Evidence Scores	1.0	0.06619
H3K4me1_Neurosphere Cultured Cells Ganglionic Eminence Derived	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
